isocode,isonum,country,rugged,rugged_popw,rugged_slope,rugged_lsd,rugged_pc,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,gemstones,rgdppc_2000,rgdppc_1950_m,rgdppc_1975_m,rgdppc_2000_m,rgdppc_1950_2000_m,q_rule_law,cont_africa,cont_asia,cont_europe,cont_oceania,cont_north_america,cont_south_america,legor_gbr,legor_fra,legor_soc,legor_deu,legor_sca,colony_esp,colony_gbr,colony_fra,colony_prt,colony_oeu,africa_region_n,africa_region_s,africa_region_w,africa_region_e,africa_region_c,slave_exports,dist_slavemkt_atlantic,dist_slavemkt_indian,dist_slavemkt_saharan,dist_slavemkt_redsea,pop_1400,european_descent
ABW,533,Aruba,0.462,0.38,1.226,0.14400000000000002,0.0,18.0,12.508,-69.97,21.324,0.0,100.0,0.001,100.0,0,,,,,,,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,614.0,
AFG,4,Afghanistan,2.5180000000000002,1.469,7.414,0.72,39.004,65209.0,33.833,66.02600000000001,27.849,4.356,0.0,0.922,0.0,0,,644.756,720.633,565.231,679.791,-1.6869999999999998,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1870829.0,0.0
AGO,24,Angola,0.858,0.7140000000000001,2.274,0.228,4.906000000000001,124670.0,-12.299000000000001,17.551,26.676,0.425,44.346000000000004,0.428,13.1587,47756,1794.729,1051.822,1073.036,765.215,1106.763,-1.567,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,3610000.0,5.669,6.981,4.926,3.872,1223208.0,2.0
AIA,660,Anguilla,0.013000000000000001,0.01,0.026000000000000002,0.006,0.0,9.0,18.230999999999998,-63.06399999999999,100.0,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
ALB,8,Albania,3.427,1.597,10.450999999999999,1.006,62.133,2740.0,41.143,20.07,68.08800000000001,0.0,0.0,0.048,94.6919,0,3703.113,1001.3389999999999,2289.472,2741.42,1931.7839999999999,-0.82,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,200000.0,100.0
AND,20,Andorra,5.7170000000000005,6.722,17.774,1.6159999999999999,99.064,47.0,42.551,1.5759999999999998,0.0,0.0,0.0,0.134,0.0,0,,,,,,1.515,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
ANT,530,Netherlands Antilles,0.255,0.039,0.68,0.08,0.0,80.0,12.725,-68.157,24.595,0.0,74.555,0.001,100.0,0,,,,,,,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1802.0,
ARE,784,United Arab Emirates,0.769,0.316,2.112,0.191,6.142,8360.0,23.913,54.331,0.0,77.28,0.0,0.065,75.7464,0,20604.46,15797.558,25465.002,17567.883,20119.992,0.9129999999999999,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,19200.0,0.0
ARG,32,Argentina,0.775,0.22,2.2680000000000002,0.226,9.407,273669.0,-35.396,-65.17,35.678000000000004,0.0,0.0,0.35200000000000004,13.0167,0,12173.68,4986.725,8122.496999999999,8543.558,6926.81,0.033,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,276632.0,89.889
ARM,51,Armenia,2.688,0.934,8.177999999999999,0.799,50.556000000000004,2820.0,40.294000000000004,44.938,30.148000000000003,0.0,0.0,0.348,0.0,0,2421.985,,,4565.035,,-0.45299999999999996,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,105743.0,0.5
ASM,16,American Samoa,2.647,1.63,7.032,0.792,44.303000000000004,20.0,-14.2,-170.388,100.0,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
ATG,28,Antigua and Barbuda,0.006,0.003,0.012,0.003,0.0,44.0,17.271,-61.8,100.0,0.0,100.0,0.001,100.0,0,10022.03,,,,,0.99,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,747.0,
AUS,36,Australia,0.14300000000000002,0.183,0.405,0.045,0.685,768230.0,-25.733,134.487,14.248,10.889000000000001,14.68,0.336,20.9399,264154,25417.44,7411.576999999999,13169.83,21605.334,13184.232,1.7730000000000001,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,200000.0,89.954
AUT,40,Austria,3.513,1.1520000000000001,11.095,1.008,54.306999999999995,8245.0,47.589,14.14,55.098,0.0,0.0,0.242,2.2563400000000002,0,28987.84,3706.075,11646.408000000001,20691.416,11601.704,1.8530000000000002,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1250000.0,98.4
AZE,31,Azerbaijan,1.672,0.534,5.08,0.49,27.713,8260.5,40.288000000000004,47.528,60.957,0.0,0.0,0.584,0.0,0,2570.944,,,2538.14,,-1.0070000000000001,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,226250.0,4.0
BDI,108,Burundi,1.78,1.5859999999999999,4.721,0.5,27.519000000000002,2568.0,-3.365,29.886999999999997,24.049,0.0,75.354,0.9059999999999999,0.0,0,621.6519999999999,360.142,534.8580000000001,495.977,530.763,-1.25,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,86.99700000000001,10.626,2.57,3.719,2.215,239693.0,0.0
BEL,56,Belgium,0.38799999999999996,0.261,1.239,0.109,0.17800000000000002,3023.0,50.641999999999996,4.6610000000000005,48.967,0.0,0.0,0.113,45.9637,0,27302.99,5462.205,12440.785,20656.459,12223.306,1.413,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,773466.0,98.0
BEN,204,Benin,0.141,0.099,0.377,0.045,0.013999999999999999,11062.0,9.65,2.339,74.973,0.0,97.48899999999999,0.36700000000000005,10.2806,0,959.222,1083.628,969.318,1282.8980000000001,1082.474,-0.23,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,457000.0,5.121,9.234,2.835,3.9019999999999997,348867.0,0.0
BFA,854,Burkina Faso,0.23600000000000002,0.214,0.638,0.066,0.051,27360.0,12.274000000000001,-1.7469999999999999,56.909,0.0,49.82,0.735,0.0,0,998.416,474.31300000000005,669.515,921.09,719.5110000000001,-0.52,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,167000.0,4.775,9.299,2.764,4.239,692976.0,0.0
BGD,50,Bangladesh,0.18600000000000003,0.065,0.502,0.053,1.817,13017.0,23.848000000000003,90.27,41.883,0.0,75.038,0.071,71.3844,0,1479.086,539.544,528.607,861.7,599.122,-0.807,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,9103705.0,0.0
BGR,100,Bulgaria,1.479,0.711,4.498,0.42700000000000005,20.195999999999998,11063.0,42.765,25.239,82.101,0.0,0.0,0.149,31.4395,0,5979.170999999999,1651.031,5830.809,5349.920999999999,4567.501,-0.16,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,894427.0,98.85
BHR,48,Bahrain,0.231,0.163,0.627,0.063,0.0,71.0,26.025,50.565,0.0,0.0,0.0,0.002,100.0,0,15928.09,2104.4539999999997,3922.257,5058.844,3776.897,0.457,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,31897.0,0.0
BHS,44,Bahamas,0.055,0.1,0.14400000000000002,0.017,0.0,1001.0,24.255,-76.61,13.924000000000001,0.0,100.0,0.003,100.0,0,16977.2,,,,,1.063,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,1276.0,
BIH,70,Bosnia and Herzegovina,2.311,1.288,7.075,0.665,40.253,5120.0,44.175,17.784000000000002,76.888,0.0,0.0,0.11699999999999999,42.7623,0,5294.975,,,5572.281999999999,,-0.44,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,366341.0,100.0
BLR,112,Belarus,0.16399999999999998,0.20800000000000002,0.54,0.046,0.0,20748.0,53.542,28.054000000000002,50.611000000000004,0.0,0.0,0.598,0.0,0,4802.11,,,6264.544,,-0.9,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,487364.0,100.0
BLZ,84,Belize,0.607,0.226,1.6159999999999999,0.174,6.568,2281.0,17.205,-88.68700000000001,35.49,0.0,100.0,0.026000000000000002,100.0,0,5869.233,,,,,0.257,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,5326.0,39.91
BMU,60,Bermuda,0.015,0.013999999999999999,0.03,0.006,0.0,5.0,32.31,-64.77199999999999,20.0,0.0,0.0,0.0,100.0,0,,,,,,1.255,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,601.0,
